SEQN,intense,light,moderate,sedentary
29190.0,1.0,306.85714285714283,16.857142857142858,636.1428571428571
29191.0,,353.2,23.0,691.2857142857143
29192.0,,281.2857142857143,27.142857142857142,651.5714285714286
29193.0,,281.42857142857144,17.0,664.0
29195.0,19.0,318.7142857142857,5.6,634.5714285714286
29196.0,,340.3333333333333,9.5,662.8571428571429
29197.0,,271.14285714285717,15.428571428571429,673.4285714285714
29198.0,3.5,271.85714285714283,52.42857142857143,633.7142857142857
29199.0,2.6666666666666665,351.0,58.57142857142857,549.2857142857143
29200.0,1.0,303.85714285714283,3.4285714285714284,652.5714285714286
29201.0,6.4,150.33333333333334,61.5,773.8571428571429
29202.0,2.0,309.42857142857144,19.0,631.2857142857143
29203.0,2.5,293.57142857142856,14.714285714285714,651.0
29206.0,1.0,322.57142857142856,29.285714285714285,608.0
29207.0,,258.0,2.1666666666666665,700.1428571428571
29208.0,4.571428571428571,388.14285714285717,80.85714285714286,486.42857142857144
29214.0,,56.714285714285715,1.0,903.1428571428571
29215.0,3.3333333333333335,175.42857142857142,55.142857142857146,726.5714285714286
29217.0,1.0,263.2857142857143,34.333333333333336,667.1428571428571
29219.0,,57.4,2.5,918.2857142857143
29221.0,1.0,119.0,23.5,868.1428571428571
29222.0,1.0,368.42857142857144,66.42857142857143,524.8571428571429
29223.0,,289.14285714285717,4.2,667.8571428571429
29225.0,17.2,321.42857142857144,38.42857142857143,587.8571428571429
29227.0,,241.28571428571428,6.666666666666667,713.0
29230.0,,500.3333333333333,11.0,521.7142857142857
29232.0,,316.5,17.0,676.5714285714286
29234.0,1.0,229.71428571428572,19.0,710.8571428571429
29235.0,2.75,265.0,47.0,646.4285714285714
29236.0,,28.166666666666668,20.333333333333332,927.1428571428571
29238.0,,237.57142857142858,3.4285714285714284,719.0
29239.0,4.333333333333333,508.2857142857143,30.0,419.85714285714283
29240.0,16.25,322.1666666666667,77.5,608.1428571428571
29241.0,,233.28571428571428,20.0,706.7142857142857
29242.0,2.0,159.28571428571428,36.4,774.1428571428571
29243.0,,167.28571428571428,4.75,790.0
29244.0,,177.57142857142858,6.714285714285714,775.7142857142857
29245.0,,209.28571428571428,1.8333333333333333,749.1428571428571
29246.0,11.0,234.14285714285714,61.285714285714285,655.1428571428571
29248.0,3.0,243.4,50.6,749.5714285714286
29249.0,,283.57142857142856,1.3333333333333333,675.8571428571429
29251.0,,306.85714285714283,18.166666666666668,637.5714285714286
29252.0,,236.14285714285714,1.0,723.1428571428571
29253.0,3.6666666666666665,285.0,42.142857142857146,629.7142857142857
29254.0,,280.2857142857143,12.4,670.8571428571429
29255.0,,2.5,,958.5714285714286
29256.0,,185.57142857142858,3.0,771.8571428571429
29257.0,7.25,243.33333333333334,53.833333333333336,701.1428571428571
29258.0,1.0,193.42857142857142,17.285714285714285,749.1428571428571
29259.0,,133.6,3.5,862.5714285714286
29261.0,,98.0,,862.0
29263.0,1.0,391.2857142857143,24.857142857142858,543.5714285714286
29265.0,1.0,336.42857142857144,24.0,599.4285714285714
29266.0,8.25,363.4,35.2,670.5714285714286
29267.0,2.25,357.2857142857143,64.71428571428571,536.7142857142857
29268.0,,246.71428571428572,1.6666666666666667,711.8571428571429
29269.0,2.0,258.0,5.5,809.1428571428571
29271.0,,209.71428571428572,1.75,749.2857142857143
29273.0,1.8,203.14285714285714,11.714285714285714,743.8571428571429
29274.0,1.0,154.6,28.5,833.1428571428571
29275.0,,318.2857142857143,8.571428571428571,633.1428571428571
29276.0,,390.0,7.142857142857143,562.8571428571429
29277.0,,155.16666666666666,2.3333333333333335,826.0
29278.0,2.0,272.14285714285717,27.666666666666668,663.8571428571429
29282.0,3.0,218.0,20.571428571428573,719.2857142857143
29286.0,,376.57142857142856,5.6,579.4285714285714
29287.0,40.0,138.57142857142858,35.4,790.4285714285714
29289.0,3.6,393.57142857142856,48.285714285714285,515.5714285714286
29290.0,4.857142857142857,412.7142857142857,55.0,487.42857142857144
29291.0,8.0,180.33333333333334,55.8,762.1428571428571
29292.0,3.6,220.28571428571428,40.0,697.1428571428571
29293.0,7.0,231.71428571428572,14.857142857142858,712.4285714285714
29294.0,1.0,237.0,5.0,717.8571428571429
29295.0,3.0,95.66666666666667,6.0,874.1428571428571
29297.0,3.6666666666666665,247.5,69.6,696.5714285714286
29298.0,2.6,181.85714285714286,78.5,709.0
29299.0,,120.75,4.0,889.8571428571429
29300.0,1.0,469.85714285714283,43.285714285714285,446.7142857142857
29301.0,2.5,289.3333333333333,29.5,686.0
29302.0,1.0,309.14285714285717,55.0,611.4285714285714
29303.0,,361.42857142857144,17.714285714285715,580.8571428571429
29304.0,2.6666666666666665,242.42857142857142,33.42857142857143,683.0
29307.0,,266.2857142857143,2.0,692.2857142857143
29308.0,23.6,302.57142857142856,104.2,566.1428571428571
29309.0,,220.28571428571428,4.857142857142857,734.8571428571429
29311.0,9.25,405.85714285714283,53.42857142857143,495.42857142857144
29312.0,7.0,175.71428571428572,15.428571428571429,766.8571428571429
29313.0,2.75,290.14285714285717,56.285714285714285,612.0
29316.0,5.0,200.0,63.833333333333336,702.4285714285714
29317.0,1.0,228.42857142857142,33.5,702.4285714285714
29318.0,,193.28571428571428,5.0,764.5714285714286
29323.0,6.2,246.28571428571428,58.714285714285715,650.5714285714286
29324.0,22.833333333333332,332.7142857142857,55.57142857142857,552.1428571428571
29326.0,,314.42857142857144,14.857142857142858,630.7142857142857
29327.0,2.25,108.85714285714286,33.57142857142857,816.2857142857143
29329.0,,356.42857142857144,19.285714285714285,584.2857142857143
29330.0,2.0,277.14285714285717,44.666666666666664,644.0
29331.0,,201.71428571428572,8.833333333333334,750.7142857142857
29334.0,2.0,353.6666666666667,41.166666666666664,620.7142857142857
29335.0,4.0,49.2,21.4,909.0
29338.0,1.0,193.0,50.714285714285715,716.1428571428571
29339.0,7.0,261.2857142857143,29.833333333333332,670.1428571428571
29341.0,,1.5,,959.5714285714286
29343.0,4.666666666666667,444.85714285714283,70.71428571428571,440.42857142857144
29344.0,2.0,252.42857142857142,32.142857142857146,675.1428571428571
29345.0,,80.33333333333333,5.0,886.8571428571429
29347.0,1.5,207.83333333333334,27.166666666666668,758.1428571428571
29348.0,3.142857142857143,319.14285714285717,42.857142857142854,594.8571428571429
29350.0,,50.333333333333336,13.0,934.7142857142857
29351.0,1.0,132.5,22.5,833.4285714285714
29352.0,,187.71428571428572,1.0,772.0
29355.0,,420.7142857142857,12.857142857142858,526.4285714285714
29356.0,13.4,249.5,70.8,686.0
29359.0,,233.14285714285714,2.6666666666666665,725.7142857142857
29360.0,19.2,311.7142857142857,78.16666666666667,567.5714285714286
29362.0,7.5,107.0,22.666666666666668,871.7142857142857
29363.0,,250.57142857142858,10.714285714285714,698.7142857142857
29364.0,,4.142857142857143,1.3333333333333333,955.2857142857143
29366.0,2.3333333333333335,295.0,46.57142857142857,617.4285714285714
29367.0,,209.71428571428572,1.5,749.8571428571429
29368.0,,400.85714285714283,18.571428571428573,540.5714285714286
29370.0,,183.85714285714286,1.5,775.2857142857143
29371.0,,328.7142857142857,2.4285714285714284,628.8571428571429
29373.0,,315.42857142857144,9.857142857142858,634.7142857142857
29374.0,,299.57142857142856,55.57142857142857,604.8571428571429
29375.0,2.0,299.0,10.714285714285714,649.7142857142857
29376.0,,242.33333333333334,33.666666666666664,723.4285714285714
29377.0,3.3333333333333335,369.57142857142856,56.42857142857143,531.1428571428571
29378.0,,263.85714285714283,4.714285714285714,691.4285714285714
29380.0,2.0,80.8,11.0,894.1428571428571
29382.0,,206.71428571428572,2.0,751.8571428571429
29383.0,26.333333333333332,81.8,46.5,863.7142857142857
29384.0,,300.2857142857143,24.0,635.7142857142857
29385.0,,333.7142857142857,20.714285714285715,605.5714285714286
29387.0,10.333333333333334,305.42857142857144,70.85714285714286,574.8571428571429
29388.0,,176.33333333333334,4.2,805.8571428571429
29391.0,16.0,296.42857142857144,70.57142857142857,579.2857142857143
29392.0,2.0,319.57142857142856,29.142857142857142,609.8571428571429
29393.0,3.0,315.0,30.142857142857142,612.7142857142857
29394.0,9.6,299.7142857142857,50.833333333333336,609.8571428571429
29395.0,1.0,307.14285714285717,41.666666666666664,617.0
29397.0,8.5,26.833333333333332,17.0,927.2857142857143
29398.0,,187.71428571428572,6.8,767.4285714285714
29399.0,2.0,250.6,43.2,749.5714285714286
29402.0,3.6666666666666665,276.42857142857144,60.714285714285715,619.7142857142857
29403.0,,328.42857142857144,20.333333333333332,614.1428571428571
29405.0,2.857142857142857,257.7142857142857,88.85714285714286,610.5714285714286
29406.0,1.5,108.42857142857143,21.666666666666668,832.5714285714286
29407.0,6.0,171.57142857142858,20.5,774.1428571428571
29408.0,8.333333333333334,156.16666666666666,18.0,668.8333333333334
29409.0,1.0,322.57142857142856,21.666666666666668,618.7142857142857
29410.0,10.0,249.28571428571428,24.428571428571427,684.8571428571429
29411.0,,63.714285714285715,1.6666666666666667,895.5714285714286
29413.0,1.0,262.57142857142856,48.0,649.1428571428571
29415.0,,10.666666666666666,1.0,955.2857142857143
29416.0,1.0,404.14285714285717,13.714285714285714,541.8571428571429
29417.0,1.8571428571428572,410.85714285714283,90.42857142857143,456.85714285714283
29418.0,,194.0,7.6,788.2857142857143
29419.0,5.333333333333333,380.0,48.142857142857146,527.2857142857143
29420.0,,436.7142857142857,5.571428571428571,517.7142857142857
29421.0,9.0,350.57142857142856,36.285714285714285,571.8571428571429
29422.0,1.0,231.14285714285714,23.428571428571427,705.0
29423.0,14.333333333333334,428.42857142857144,83.57142857142857,435.7142857142857
29424.0,,354.0,5.428571428571429,600.5714285714286
29425.0,1.5,183.42857142857142,20.166666666666668,758.8571428571429
29426.0,1.0,293.57142857142856,31.0,639.7142857142857
29427.0,3.0,329.7142857142857,20.857142857142858,608.5714285714286
29428.0,1.0,293.57142857142856,19.0,650.0
29429.0,5.2,377.57142857142856,47.714285714285715,531.0
29431.0,1.0,314.85714285714283,25.857142857142858,619.0
29432.0,1.3333333333333333,335.85714285714283,23.142857142857142,600.4285714285714
29433.0,3.6666666666666665,294.42857142857144,45.857142857142854,616.5714285714286
29434.0,3.5,164.5,44.0,780.2857142857143
29435.0,2.0,178.83333333333334,51.166666666666664,762.2857142857143
29436.0,,328.7142857142857,8.142857142857142,623.1428571428571
29438.0,2.0,234.0,9.0,716.7142857142857
29439.0,2.5,113.83333333333333,11.333333333333334,852.0
29441.0,17.5,215.0,19.833333333333332,753.7142857142857
29442.0,,114.16666666666667,3.1666666666666665,859.4285714285714
29443.0,9.666666666666666,247.57142857142858,70.42857142857143,637.8571428571429
29444.0,8.0,124.5,26.2,832.2857142857143
29445.0,1.0,133.0,4.714285714285714,822.1428571428571
29446.0,,188.66666666666666,7.0,793.2857142857143
29450.0,,385.7142857142857,8.857142857142858,565.4285714285714
29451.0,1.0,383.42857142857144,13.333333333333334,565.0
29452.0,1.0,41.142857142857146,5.857142857142857,912.8571428571429
29453.0,,2.6,1.0,957.8571428571429
29455.0,,293.57142857142856,7.666666666666667,659.8571428571429
29456.0,,102.14285714285714,1.75,856.8571428571429
29457.0,12.25,340.42857142857144,44.42857142857143,568.1428571428571
29458.0,1.3333333333333333,197.14285714285714,74.5,698.4285714285714
29459.0,10.8,403.7142857142857,99.66666666666667,463.14285714285717
29460.0,1.6666666666666667,174.71428571428572,10.857142857142858,773.7142857142857
29461.0,,307.0,13.571428571428571,639.4285714285714
29462.0,,6.2,1.5,955.1428571428571
29465.0,3.3333333333333335,359.0,42.57142857142857,557.0
29466.0,,371.42857142857144,28.428571428571427,560.1428571428571
29467.0,1.0,150.42857142857142,10.285714285714286,799.1428571428571
29469.0,12.4,358.85714285714283,78.66666666666667,524.8571428571429
29470.0,,64.8,11.0,910.5714285714286
29471.0,1.5,168.4,53.75,808.5714285714286
29472.0,1.5,272.42857142857144,33.857142857142854,653.2857142857143
29473.0,,231.0,63.285714285714285,665.7142857142857
29474.0,,218.57142857142858,20.285714285714285,721.1428571428571
29475.0,,355.7142857142857,6.285714285714286,598.0
29477.0,,319.42857142857144,6.857142857142857,633.7142857142857
29478.0,,231.25,6.666666666666667,825.0
29482.0,,44.0,6.0,914.2857142857143
29483.0,,139.0,15.285714285714286,805.7142857142857
29484.0,1.0,248.42857142857142,52.142857142857146,659.1428571428571
29485.0,1.0,98.0,1.6,860.7142857142857
29486.0,3.5,266.1666666666667,6.6,726.1428571428571
29488.0,,428.7142857142857,22.0,509.2857142857143
29489.0,,41.142857142857146,3.6,916.2857142857143
29490.0,,426.42857142857144,13.857142857142858,519.7142857142857
29491.0,,254.0,34.714285714285715,671.2857142857143
29492.0,,303.5,30.5,673.7142857142857
29493.0,2.0,397.57142857142856,97.71428571428571,463.2857142857143
29495.0,,332.85714285714283,19.0,608.1428571428571
29496.0,,302.57142857142856,7.166666666666667,651.2857142857143
29498.0,4.0,432.85714285714283,59.714285714285715,464.0
29502.0,,162.66666666666666,40.0,792.0
29503.0,3.3333333333333335,147.42857142857142,8.142857142857142,803.0
29504.0,,465.0,49.42857142857143,445.57142857142856
29505.0,3.3333333333333335,326.57142857142856,46.42857142857143,584.1428571428571
29506.0,,334.42857142857144,3.857142857142857,621.7142857142857
29509.0,3.8333333333333335,126.14285714285714,41.857142857142854,788.7142857142857
29511.0,1.0,245.85714285714286,24.666666666666668,692.5714285714286
29512.0,2.4,241.42857142857142,18.571428571428573,698.2857142857143
29513.0,,217.57142857142858,14.428571428571429,728.0
29514.0,1.5,376.7142857142857,45.285714285714285,537.5714285714286
29517.0,1.0,305.85714285714283,19.571428571428573,634.4285714285714
29518.0,,31.571428571428573,2.25,927.1428571428571
29519.0,,456.0,4.142857142857143,499.85714285714283
29521.0,,166.85714285714286,1.0,793.0
29522.0,,265.2857142857143,10.714285714285714,684.0
29525.0,7.0,367.0,50.142857142857146,539.8571428571429
29526.0,,126.85714285714286,24.571428571428573,808.5714285714286
29527.0,7.75,306.3333333333333,29.666666666666668,667.5714285714286
29530.0,,285.14285714285717,8.6,668.7142857142857
29531.0,1.0,272.3333333333333,17.166666666666668,711.5714285714286
29532.0,,183.71428571428572,30.0,746.2857142857143
29533.0,,390.42857142857144,12.333333333333334,559.0
29536.0,,289.14285714285717,20.428571428571427,650.4285714285714
29537.0,,44.285714285714285,32.0,883.7142857142857
29538.0,,275.0,2.6666666666666665,682.7142857142857
29541.0,1.0,372.7142857142857,16.857142857142858,570.2857142857143
29544.0,,306.7142857142857,4.4,650.1428571428571
29546.0,,52.166666666666664,4.666666666666667,913.2857142857143
29547.0,5.0,528.0,27.142857142857142,403.42857142857144
29548.0,,290.57142857142856,4.571428571428571,664.8571428571429
29549.0,3.0,202.14285714285714,14.857142857142858,742.5714285714286
29551.0,,128.57142857142858,1.25,830.7142857142857
29552.0,,282.0,3.4285714285714284,674.5714285714286
29553.0,3.0,299.0,29.428571428571427,630.7142857142857
29554.0,1.0,424.0,80.28571428571429,455.57142857142856
29555.0,9.666666666666666,326.57142857142856,75.33333333333333,560.5714285714286
29557.0,1.0,536.8571428571429,10.571428571428571,412.42857142857144
29558.0,12.0,135.5,18.0,914.4285714285714
29559.0,6.75,101.83333333333333,33.714285714285715,835.1428571428571
29560.0,9.0,63.666666666666664,35.0,892.8571428571429
29561.0,,173.66666666666666,7.2,806.0
29562.0,1.0,172.33333333333334,25.8,793.2857142857143
29563.0,9.0,142.5,18.5,826.0
29564.0,,420.57142857142856,22.285714285714285,517.1428571428571
29565.0,,189.0,8.2,765.1428571428571
29566.0,,407.0,43.0,895.7142857142857
29567.0,,356.7142857142857,15.0,588.2857142857143
29568.0,3.2,268.57142857142856,44.285714285714285,644.8571428571429
29569.0,2.75,194.0,28.857142857142858,735.5714285714286
29570.0,3.0,248.28571428571428,56.285714285714285,653.2857142857143
29572.0,2.5,316.42857142857144,36.142857142857146,606.7142857142857
29574.0,,77.28571428571429,1.0,882.4285714285714
29575.0,,347.0,11.571428571428571,601.4285714285714
29577.0,,246.42857142857142,1.0,713.1428571428571
29580.0,1.0,90.33333333333333,6.5,876.8571428571429
29581.0,,289.57142857142856,24.428571428571427,646.0
29582.0,6.571428571428571,274.85714285714283,49.57142857142857,629.0
29584.0,,180.0,6.0,774.0
29586.0,1.0,115.28571428571429,2.6,842.7142857142857
29587.0,10.0,111.0,39.75,836.4285714285714
29589.0,3.0,137.42857142857142,9.666666666666666,813.0
29590.0,,260.42857142857144,15.333333333333334,686.4285714285714
29591.0,5.5,139.75,10.0,874.2857142857143
29592.0,1.0,256.85714285714283,14.428571428571429,688.5714285714286
29593.0,,315.2857142857143,13.0,631.7142857142857
29594.0,1.0,98.5,9.0,899.7142857142857
29595.0,1.0,175.42857142857142,14.857142857142858,769.5714285714286
29596.0,2.0,258.75,81.33333333333333,776.7142857142857
29597.0,1.0,194.28571428571428,7.285714285714286,758.0
29598.0,,172.5,6.8,807.2857142857143
29599.0,3.0,314.14285714285717,96.0,547.2857142857143
29602.0,,269.0,1.3333333333333333,689.8571428571429
29603.0,2.8,294.85714285714283,63.57142857142857,599.5714285714286
29604.0,,202.0,8.0,840.0
29605.0,,359.42857142857144,8.428571428571429,592.1428571428571
29606.0,1.5,237.0,49.0,721.4285714285714
29609.0,3.4,278.2857142857143,34.714285714285715,644.5714285714286
29610.0,3.0,220.14285714285714,35.0,703.5714285714286
29613.0,,337.14285714285717,26.0,596.8571428571429
29614.0,2.5,248.14285714285714,27.142857142857142,684.0
29616.0,,271.0,37.0,652.0
29618.0,,135.57142857142858,8.333333333333334,817.2857142857143
29621.0,,186.14285714285714,1.5,773.0
29622.0,,425.1666666666667,32.5,567.7142857142857
29623.0,8.0,229.16666666666666,21.166666666666668,739.7142857142857
29624.0,,102.5,5.0,900.7142857142857
