,SEQN,intense,light,moderate,sedentary,active
270,21393.0,1.0,356.42857142857144,7.428571428571429,596.0,0
271,21395.0,0.0,102.6,2.5,885.2857142857142,0
272,21396.0,0.0,255.57142857142856,10.0,698.7142857142858,0
273,21397.0,3.5,273.42857142857144,62.33333333333334,631.1428571428571,1
274,21399.0,0.0,125.14285714285714,23.857142857142854,811.0,1
275,21401.0,8.714285714285714,246.7142857142857,60.0,644.5714285714286,1
276,21402.0,9.333333333333334,286.14285714285717,60.85714285714285,605.0,1
277,21404.0,0.0,163.85714285714286,2.0,795.0,0
278,21406.0,3.5,382.57142857142856,54.42857142857143,521.0,1
279,21407.0,0.0,129.0,1.8,829.7142857142858,0
280,21409.0,1.0,395.0,8.857142857142858,556.0,0
281,21410.0,3.333333333333333,284.3333333333333,57.0,664.5714285714286,1
282,21412.0,7.333333333333332,283.2857142857143,27.57142857142857,646.0,1
283,21413.0,0.0,224.85714285714286,41.57142857142857,693.5714285714287,1
284,21414.0,1.0,227.42857142857144,11.285714285714285,721.1428571428571,0
285,21415.0,0.0,15.0,6.0,954.8571428571428,0
286,21416.0,4.5,292.85714285714283,25.857142857142854,640.0,1
287,21417.0,2.333333333333333,284.8333333333333,40.57142857142857,674.2857142857142,1
288,21419.0,0.0,361.71428571428567,3.6666666666666665,596.7142857142858,0
289,21420.0,1.0,375.8571428571428,24.0,560.0,1
290,21421.0,0.0,176.6,10.666666666666666,829.2857142857142,0
291,21424.0,0.0,154.28571428571428,7.5,799.2857142857142,0
292,21425.0,3.0,99.5,10.666666666666666,898.1428571428571,0
293,21426.0,0.0,187.28571428571428,4.142857142857143,768.5714285714287,0
294,21427.0,1.0,195.28571428571428,8.714285714285714,755.8571428571429,0
295,21429.0,8.5,264.42857142857144,36.42857142857143,656.7142857142858,1
296,21431.0,2.0,198.28571428571428,9.2,754.8571428571429,0
297,21432.0,0.0,375.57142857142856,14.857142857142858,569.5714285714286,0
298,21433.0,0.0,364.8571428571428,53.714285714285715,541.4285714285714,1
299,21434.0,2.5,245.7142857142857,32.42857142857143,681.1428571428571,1
300,21435.0,1.3333333333333333,282.85714285714283,42.0,634.5714285714286,1
301,21436.0,0.0,2.0,0.0,958.5714285714287,0
302,21437.0,1.0,458.28571428571433,22.57142857142857,479.0,1
303,21438.0,1.0,269.75,45.0,786.2857142857142,1
304,21441.0,0.0,199.42857142857144,17.5,745.5714285714287,0
305,21442.0,0.0,134.57142857142858,13.833333333333336,813.5714285714287,0
306,21444.0,0.0,200.16666666666663,15.5,779.5714285714287,0
307,21446.0,0.0,351.0,19.571428571428573,589.4285714285714,0
308,21448.0,1.0,287.7142857142857,10.857142857142858,661.1428571428571,0
309,21451.0,3.25,425.4285714285714,58.14285714285714,474.57142857142856,1
310,21453.0,1.6666666666666667,377.2,158.2,576.8571428571429,1
311,21455.0,0.0,208.14285714285717,1.0,751.7142857142858,0
312,21456.0,0.0,165.71428571428572,1.0,793.8571428571429,0
313,21457.0,0.0,288.8333333333333,4.166666666666667,708.8571428571429,0
314,21460.0,0.0,207.85714285714286,1.3333333333333333,751.5714285714287,0
315,21462.0,0.0,56.2,6.666666666666668,917.0,0
316,21465.0,0.0,365.1428571428572,100.42857142857143,494.4285714285714,1
317,21466.0,0.0,327.3333333333333,22.0,660.5714285714286,1
318,21468.0,0.0,139.0,1.5,820.1428571428571,0
319,21470.0,21.0,305.42857142857144,117.71428571428572,515.8571428571429,1
320,21472.0,0.0,266.0,12.0,683.7142857142858,0
321,21473.0,1.0,209.16666666666663,14.0,770.4285714285713,0
322,21474.0,6.166666666666668,333.0,39.142857142857146,582.5714285714286,1
323,21475.0,1.6666666666666667,343.71428571428567,92.57142857142857,522.2857142857143,1
324,21476.0,0.0,382.8571428571428,36.0,541.1428571428571,1
325,21477.0,1.0,235.0,29.0,695.7142857142858,1
326,21478.0,4.0,426.8571428571428,61.14285714285714,468.0,1
327,21481.0,0.0,8.0,0.0,956.5714285714287,0
328,21483.0,1.0,285.7142857142857,8.571428571428571,665.5714285714286,0
329,21484.0,1.0,99.5,6.666666666666668,871.7142857142858,0
330,21485.0,7.0,174.14285714285714,36.2,758.0,1
331,21486.0,0.0,0.0,0.0,960.0,0
332,21487.0,5.0,260.6666666666667,53.0,824.1428571428571,1
333,21489.0,0.0,205.7142857142857,3.8333333333333335,751.0,0
334,21490.0,17.5,368.1428571428572,8.571428571428571,573.2857142857142,1
335,21491.0,1.6666666666666667,177.71428571428572,60.66666666666666,729.5714285714287,1
336,21493.0,1.0,164.14285714285714,37.142857142857146,758.4285714285713,1
337,21494.0,1.0,312.7142857142857,38.42857142857143,608.7142857142858,1
338,21495.0,17.0,73.71428571428571,16.8,871.8571428571429,1
339,21496.0,3.1666666666666665,219.7142857142857,36.42857142857143,701.1428571428571,1
340,21497.0,0.0,252.0,5.666666666666668,703.1428571428571,0
341,21498.0,0.0,186.28571428571428,14.4,763.4285714285713,0
342,21500.0,1.0,203.28571428571428,2.6666666666666665,754.1428571428571,0
343,21501.0,6.666666666666668,306.7142857142857,11.166666666666664,640.8571428571429,1
344,21502.0,0.0,272.42857142857144,1.3333333333333333,687.0,0
345,21504.0,3.0,287.2857142857143,16.5,656.8571428571429,1
346,21505.0,0.0,231.7142857142857,29.0,699.2857142857142,1
347,21506.0,17.0,441.0,47.42857142857143,469.1428571428572,1
348,21508.0,4.333333333333333,409.4285714285714,54.714285714285715,492.1428571428572,1
349,21509.0,20.0,342.85714285714283,28.0,586.2857142857142,1
350,21510.0,0.0,436.0,17.833333333333332,508.71428571428567,0
351,21511.0,5.0,253.7142857142857,67.42857142857143,636.0,1
352,21513.0,1.0,280.57142857142856,32.666666666666664,651.2857142857142,1
353,21515.0,2.333333333333333,339.2857142857143,46.28571428571429,573.4285714285714,1
354,21516.0,10.0,285.42857142857144,73.0,593.0,1
355,21517.0,0.0,44.5,30.0,943.0,1
356,21518.0,0.0,248.66666666666663,5.0,744.7142857142858,0
357,21519.0,6.2,175.16666666666663,54.33333333333334,758.8571428571429,1
358,21520.0,0.0,138.0,9.0,814.2857142857142,0
359,21522.0,13.0,34.4,2.0,932.4285714285713,1
360,21523.0,0.0,285.14285714285717,29.0,645.8571428571429,1
361,21527.0,0.0,264.85714285714283,4.857142857142857,690.2857142857142,0
362,21528.0,0.0,266.2857142857143,10.0,683.7142857142858,0
363,21529.0,3.0,253.14285714285717,38.0,673.0,1
364,21532.0,10.333333333333334,224.7142857142857,75.83333333333333,661.4285714285714,1
365,21533.0,0.0,306.42857142857144,2.0,653.2857142857142,0
366,21534.0,1.0,427.1428571428572,31.42857142857143,501.28571428571433,1
367,21536.0,12.0,270.0,35.0,696.8571428571429,1
368,21537.0,0.0,261.0,1.25,698.2857142857142,0
369,21539.0,2.0,181.28571428571428,66.66666666666667,719.8571428571429,1
370,21540.0,1.0,255.42857142857144,15.142857142857142,689.2857142857142,0
371,21541.0,0.0,296.2857142857143,15.0,648.7142857142858,0
