,SEQN,RIDAGEYR,DMDEDUC2,DMDHHSIZ,INDFMPIR,gender_1.0,gender_2.0,marital_1.0,marital_2.0,marital_3.0,marital_4.0,marital_5.0,marital_6.0
121,21264.0,41.0,2.0,6.0,2.99,1,0,1,0,0,0,0,0
122,21265.0,43.0,4.0,2.0,3.76,1,0,0,0,0,0,1,0
123,21270.0,85.0,4.0,1.0,4.3,0,1,0,1,0,0,0,0
124,21271.0,45.0,4.0,3.0,2.87,1,0,0,0,0,1,0,0
125,21272.0,44.0,4.0,7.0,1.44,1,0,1,0,0,0,0,0
126,21274.0,26.0,5.0,2.0,3.33,0,1,0,0,0,0,1,0
127,21275.0,65.0,1.0,3.0,2.42,0,1,1,0,0,0,0,0
128,21276.0,72.0,5.0,2.0,5.0,1,0,1,0,0,0,0,0
129,21277.0,55.0,3.0,1.0,2.78,0,1,0,0,1,0,0,0
130,21279.0,40.0,4.0,7.0,1.64,0,1,1,0,0,0,0,0
131,21281.0,64.0,1.0,7.0,0.96,0,1,1,0,0,0,0,0
132,21283.0,57.0,4.0,2.0,4.0,0,1,1,0,0,0,0,0
133,21285.0,22.0,4.0,2.0,2.15,0,1,0,0,0,0,0,1
134,21286.0,41.0,1.0,7.0,0.35,1,0,1,0,0,0,0,0
135,21287.0,37.0,3.0,4.0,2.92,1,0,1,0,0,0,0,0
136,21291.0,85.0,1.0,1.0,0.94,0,1,0,1,0,0,0,0
137,21292.0,63.0,4.0,2.0,5.0,1,0,0,0,1,0,0,0
138,21294.0,32.0,5.0,3.0,2.62,0,1,1,0,0,0,0,0
139,21295.0,70.0,1.0,1.0,1.45,0,1,0,1,0,0,0,0
140,21297.0,46.0,5.0,3.0,5.0,0,1,1,0,0,0,0,0
141,21298.0,65.0,5.0,2.0,5.0,0,1,1,0,0,0,0,0
142,21300.0,83.0,3.0,2.0,2.99,0,1,1,0,0,0,0,0
143,21303.0,34.0,5.0,3.0,5.0,0,1,1,0,0,0,0,0
144,21305.0,75.0,5.0,2.0,5.0,1,0,1,0,0,0,0,0
145,21306.0,64.0,4.0,2.0,2.72,0,1,1,0,0,0,0,0
146,21307.0,72.0,5.0,2.0,2.72,0,1,1,0,0,0,0,0
147,21309.0,64.0,2.0,1.0,0.06,0,1,0,0,1,0,0,0
148,21310.0,36.0,2.0,7.0,0.66,1,0,1,0,0,0,0,0
149,21311.0,50.0,4.0,2.0,4.13,1,0,1,0,0,0,0,0
150,21313.0,22.0,3.0,2.0,0.96,0,1,0,0,0,0,1,0
151,21316.0,22.0,4.0,6.0,2.42,0,1,0,0,0,0,1,0
152,21317.0,61.0,4.0,2.0,5.0,0,1,1,0,0,0,0,0
153,21319.0,41.0,3.0,4.0,4.35,1,0,1,0,0,0,0,0
154,21321.0,32.0,2.0,4.0,0.64,0,1,0,0,0,0,1,0
155,21323.0,28.0,3.0,1.0,0.45,0,1,0,0,0,0,1,0
156,21325.0,32.0,5.0,4.0,5.0,1,0,1,0,0,0,0,0
157,21326.0,51.0,4.0,2.0,4.95,1,0,1,0,0,0,0,0
158,21329.0,46.0,3.0,2.0,0.83,0,1,1,0,0,0,0,0
159,21331.0,61.0,3.0,1.0,1.22,0,1,0,0,0,1,0,0
160,21332.0,41.0,5.0,4.0,5.0,1,0,1,0,0,0,0,0
161,21339.0,43.0,5.0,2.0,5.0,0,1,1,0,0,0,0,0
162,21344.0,50.0,1.0,2.0,3.3,1,0,1,0,0,0,0,0
163,21345.0,63.0,3.0,2.0,2.24,0,1,1,0,0,0,0,0
164,21346.0,42.0,4.0,4.0,1.33,1,0,1,0,0,0,0,0
165,21348.0,24.0,4.0,6.0,3.0,0,1,0,0,0,0,1,0
166,21351.0,40.0,4.0,5.0,3.25,0,1,1,0,0,0,0,0
167,21352.0,44.0,3.0,7.0,0.96,1,0,1,0,0,0,0,0
168,21353.0,48.0,1.0,4.0,1.03,0,1,1,0,0,0,0,0
169,21355.0,43.0,3.0,3.0,1.15,0,1,1,0,0,0,0,0
170,21356.0,36.0,4.0,4.0,2.12,0,1,1,0,0,0,0,0
171,21357.0,45.0,3.0,4.0,4.24,1,0,1,0,0,0,0,0
172,21359.0,79.0,1.0,1.0,0.79,1,0,0,1,0,0,0,0
173,21360.0,44.0,4.0,2.0,4.0,0,1,1,0,0,0,0,0
174,21363.0,42.0,2.0,2.0,1.31,0,1,0,0,0,0,1,0
175,21367.0,31.0,2.0,4.0,0.0,1,0,0,0,0,0,0,1
176,21371.0,68.0,1.0,2.0,1.57,1,0,1,0,0,0,0,0
177,21375.0,21.0,3.0,1.0,1.16,0,1,0,0,0,0,1,0
178,21378.0,49.0,3.0,2.0,3.14,0,1,0,1,0,0,0,0
179,21380.0,21.0,3.0,5.0,4.18,1,0,0,0,0,0,1,0
180,21384.0,67.0,3.0,2.0,3.6,1,0,1,0,0,0,0,0
181,21385.0,30.0,3.0,1.0,4.79,1,0,0,0,0,0,1,0
182,21386.0,61.0,2.0,2.0,3.6,1,0,1,0,0,0,0,0
183,21391.0,77.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0
184,21393.0,66.0,4.0,2.0,4.0,1,0,1,0,0,0,0,0
185,21394.0,28.0,2.0,4.0,0.65,0,1,0,0,0,0,1,0
186,21395.0,77.0,4.0,2.0,1.07,0,1,0,0,1,0,0,0
187,21396.0,61.0,1.0,1.0,0.3,0,1,0,0,0,0,1,0
188,21399.0,42.0,4.0,2.0,5.0,0,1,1,0,0,0,0,0
189,21404.0,79.0,4.0,2.0,0.93,0,1,1,0,0,0,0,0
190,21407.0,78.0,4.0,6.0,0.43,0,1,0,1,0,0,0,0
191,21409.0,45.0,2.0,5.0,0.88,0,1,1,0,0,0,0,0
192,21412.0,59.0,5.0,2.0,5.0,1,0,0,0,1,0,0,0
193,21413.0,23.0,4.0,2.0,1.29,1,0,0,0,0,0,1,0
194,21419.0,58.0,2.0,2.0,2.48,0,1,1,0,0,0,0,0
195,21420.0,39.0,4.0,4.0,4.35,1,0,1,0,0,0,0,0
196,21421.0,21.0,2.0,7.0,0.0,0,1,0,0,0,0,1,0
197,21423.0,23.0,4.0,5.0,4.54,1,0,1,0,0,0,0,0
198,21426.0,37.0,1.0,7.0,1.41,0,1,1,0,0,0,0,0
199,21427.0,35.0,4.0,2.0,3.01,1,0,0,0,0,0,0,1
200,21429.0,41.0,4.0,4.0,4.62,1,0,1,0,0,0,0,0
201,21431.0,24.0,5.0,5.0,2.55,0,1,1,0,0,0,0,0
202,21432.0,30.0,3.0,1.0,2.85,1,0,0,0,0,1,0,0
203,21433.0,66.0,4.0,1.0,3.22,0,1,0,0,1,0,0,0
204,21436.0,32.0,3.0,3.0,0.0,0,1,0,0,0,0,0,1
205,21437.0,26.0,3.0,2.0,2.15,1,0,1,0,0,0,0,0
206,21441.0,37.0,3.0,1.0,5.0,1,0,0,0,1,0,0,0
207,21442.0,58.0,5.0,2.0,4.48,1,0,1,0,0,0,0,0
208,21444.0,32.0,3.0,1.0,2.23,1,0,0,0,0,1,0,0
209,21446.0,23.0,5.0,1.0,1.93,0,1,0,0,0,0,1,0
210,21447.0,65.0,1.0,7.0,1.96,0,1,1,0,0,0,0,0
211,21449.0,44.0,3.0,4.0,0.31,0,1,0,0,0,0,0,1
212,21453.0,20.0,2.0,4.0,1.93,1,0,0,0,0,0,1,0
213,21455.0,84.0,1.0,5.0,1.5,1,0,0,1,0,0,0,0
214,21456.0,84.0,5.0,2.0,3.3,1,0,1,0,0,0,0,0
215,21457.0,79.0,5.0,1.0,2.78,1,0,0,1,0,0,0,0
216,21460.0,71.0,4.0,2.0,5.0,1,0,1,0,0,0,0,0
217,21465.0,41.0,4.0,7.0,1.76,1,0,1,0,0,0,0,0
218,21466.0,28.0,1.0,5.0,0.59,1,0,1,0,0,0,0,0
219,21467.0,39.0,2.0,4.0,1.21,1,0,0,0,0,0,1,0
220,21472.0,45.0,2.0,5.0,0.07,1,0,0,0,0,0,0,1
221,21476.0,47.0,4.0,3.0,4.47,0,1,1,0,0,0,0,0
222,21477.0,20.0,3.0,3.0,3.93,1,0,0,0,0,0,1,0
223,21483.0,27.0,5.0,2.0,4.4,0,1,1,0,0,0,0,0
224,21484.0,55.0,4.0,4.0,5.0,1,0,1,0,0,0,0,0
225,21486.0,30.0,1.0,3.0,0.92,0,1,0,0,1,0,0,0
226,21489.0,43.0,1.0,7.0,0.0,1,0,1,0,0,0,0,0
227,21490.0,25.0,5.0,3.0,5.0,0,1,0,0,0,0,1,0
228,21491.0,31.0,2.0,3.0,1.05,1,0,0,0,0,0,1,0
229,21494.0,30.0,3.0,1.0,5.0,1,0,0,0,1,0,0,0
230,21495.0,21.0,3.0,5.0,0.07,1,0,0,0,0,0,1,0
231,21499.0,62.0,1.0,1.0,2.58,1,0,0,0,0,0,1,0
232,21500.0,66.0,5.0,1.0,4.68,0,1,0,1,0,0,0,0
233,21501.0,65.0,3.0,2.0,2.4,0,1,1,0,0,0,0,0
234,21502.0,84.0,1.0,2.0,1.28,1,0,1,0,0,0,0,0
235,21506.0,39.0,3.0,3.0,2.29,1,0,1,0,0,0,0,0
236,21509.0,42.0,4.0,4.0,2.92,0,1,1,0,0,0,0,0
237,21510.0,59.0,4.0,3.0,2.29,0,1,1,0,0,0,0,0
238,21513.0,22.0,5.0,6.0,5.0,1,0,0,0,0,0,1,0
239,21514.0,41.0,4.0,4.0,5.0,0,1,1,0,0,0,0,0
240,21520.0,54.0,4.0,2.0,0.1,0,1,0,0,1,0,0,0
241,21521.0,34.0,3.0,4.0,4.62,1,0,1,0,0,0,0,0
242,21522.0,47.0,3.0,3.0,5.0,0,1,1,0,0,0,0,0
243,21527.0,35.0,4.0,5.0,0.84,0,1,1,0,0,0,0,0
244,21528.0,65.0,3.0,2.0,5.0,1,0,1,0,0,0,0,0
245,21530.0,85.0,2.0,1.0,1.89,0,1,0,1,0,0,0,0
246,21533.0,40.0,5.0,2.0,2.48,0,1,1,0,0,0,0,0
247,21534.0,31.0,4.0,3.0,1.44,1,0,1,0,0,0,0,0
248,21537.0,83.0,3.0,1.0,0.94,0,1,0,1,0,0,0,0
249,21538.0,63.0,4.0,1.0,1.11,1,0,0,0,0,0,1,0
250,21541.0,61.0,3.0,5.0,3.32,0,1,1,0,0,0,0,0
251,21542.0,58.0,5.0,4.0,2.37,1,0,1,0,0,0,0,0
252,21543.0,40.0,5.0,3.0,1.15,1,0,1,0,0,0,0,0
253,21544.0,49.0,4.0,2.0,0.83,1,0,1,0,0,0,0,0
254,21551.0,38.0,4.0,2.0,0.67,0,1,0,0,0,0,0,1
255,21552.0,71.0,4.0,2.0,0.68,0,1,0,0,1,0,0,0
256,21553.0,36.0,4.0,1.0,5.0,1,0,0,0,0,0,1,0
257,21554.0,71.0,5.0,2.0,5.0,1,0,1,0,0,0,0,0
258,21556.0,75.0,1.0,2.0,0.82,1,0,1,0,0,0,0,0
259,21557.0,85.0,4.0,1.0,2.58,0,1,0,1,0,0,0,0
260,21558.0,68.0,2.0,7.0,0.83,1,0,1,0,0,0,0,0
261,21559.0,33.0,3.0,7.0,1.38,1,0,1,0,0,0,0,0
262,21561.0,75.0,1.0,1.0,1.07,0,1,0,1,0,0,0,0
263,21562.0,66.0,1.0,2.0,0.8,0,1,0,0,0,0,1,0
264,21566.0,50.0,4.0,2.0,3.6,0,1,0,1,0,0,0,0
265,21568.0,43.0,4.0,3.0,5.0,0,1,1,0,0,0,0,0
266,21571.0,46.0,3.0,2.0,5.0,1,0,1,0,0,0,0,0
267,21574.0,83.0,1.0,1.0,3.76,0,1,0,1,0,0,0,0
268,21576.0,48.0,2.0,3.0,1.29,0,1,1,0,0,0,0,0
269,21577.0,81.0,4.0,2.0,5.0,1,0,1,0,0,0,0,0
270,21582.0,77.0,3.0,1.0,2.67,0,1,0,0,0,0,1,0
271,21583.0,43.0,5.0,6.0,1.62,1,0,1,0,0,0,0,0
272,21586.0,75.0,4.0,3.0,2.87,0,1,0,0,1,0,0,0
273,21588.0,20.0,4.0,2.0,0.86,0,1,0,0,0,0,1,0
274,21589.0,56.0,4.0,1.0,4.9,1,0,0,1,0,0,0,0
275,21591.0,36.0,1.0,2.0,2.23,1,0,0,0,0,0,1,0
276,21592.0,53.0,4.0,4.0,3.26,1,0,1,0,0,0,0,0
277,21593.0,42.0,2.0,3.0,3.19,1,0,1,0,0,0,0,0
278,21598.0,55.0,5.0,2.0,5.0,0,1,1,0,0,0,0,0
279,21603.0,48.0,5.0,3.0,5.0,1,0,0,0,1,0,0,0
280,21605.0,78.0,2.0,4.0,0.82,1,0,1,0,0,0,0,0
281,21607.0,39.0,3.0,5.0,0.76,1,0,1,0,0,0,0,0
282,21611.0,45.0,3.0,3.0,2.56,0,1,0,0,0,0,1,0
283,21613.0,23.0,5.0,2.0,4.12,1,0,0,0,0,0,0,1
284,21614.0,50.0,4.0,2.0,0.64,1,0,0,0,0,0,1,0
285,21618.0,43.0,1.0,7.0,0.18,1,0,1,0,0,0,0,0
286,21619.0,81.0,3.0,2.0,2.97,0,1,1,0,0,0,0,0
287,21620.0,66.0,3.0,1.0,3.34,1,0,0,0,0,0,1,0
288,21621.0,48.0,3.0,1.0,1.78,0,1,0,0,0,1,0,0
289,21623.0,85.0,1.0,1.0,2.58,0,1,0,1,0,0,0,0
290,21625.0,50.0,2.0,3.0,1.28,1,0,1,0,0,0,0,0
291,21630.0,63.0,1.0,1.0,0.77,0,1,0,0,1,0,0,0
292,21632.0,81.0,1.0,2.0,1.65,0,1,0,1,0,0,0,0
293,21635.0,65.0,4.0,2.0,2.8,0,1,1,0,0,0,0,0
294,21636.0,22.0,2.0,2.0,3.34,0,1,0,0,0,0,0,1
295,21637.0,43.0,3.0,1.0,1.11,1,0,0,0,0,0,1,0
296,21639.0,20.0,1.0,4.0,1.07,0,1,0,0,0,0,1,0
297,21643.0,62.0,1.0,1.0,0.94,0,1,0,1,0,0,0,0
298,21644.0,35.0,1.0,7.0,1.44,0,1,1,0,0,0,0,0
299,21645.0,39.0,3.0,5.0,4.64,1,0,1,0,0,0,0,0
300,21646.0,29.0,2.0,7.0,0.0,1,0,0,0,0,0,0,1
301,21652.0,42.0,3.0,1.0,1.34,1,0,0,0,0,0,1,0
302,21654.0,41.0,4.0,3.0,0.16,1,0,1,0,0,0,0,0
303,21655.0,82.0,4.0,3.0,1.57,1,0,1,0,0,0,0,0
304,21658.0,45.0,3.0,2.0,1.78,1,0,0,0,0,0,0,1
305,21660.0,41.0,3.0,4.0,0.75,0,1,1,0,0,0,0,0
306,21661.0,40.0,2.0,5.0,2.18,1,0,1,0,0,0,0,0
307,21663.0,29.0,2.0,5.0,2.69,1,0,0,0,0,0,0,1
308,21666.0,66.0,3.0,1.0,3.01,0,1,0,0,0,0,1,0
309,21667.0,60.0,3.0,1.0,0.59,0,1,0,0,1,0,0,0
310,21668.0,31.0,4.0,4.0,4.08,1,0,1,0,0,0,0,0
311,21672.0,61.0,4.0,2.0,4.8,0,1,1,0,0,0,0,0
312,21675.0,31.0,5.0,5.0,3.25,1,0,1,0,0,0,0,0
313,21678.0,73.0,4.0,3.0,4.95,1,0,1,0,0,0,0,0
314,21681.0,54.0,5.0,5.0,2.72,1,0,1,0,0,0,0,0
315,21682.0,70.0,1.0,2.0,0.7,1,0,1,0,0,0,0,0
316,21685.0,49.0,5.0,1.0,1.25,0,1,0,0,1,0,0,0
317,21690.0,26.0,3.0,4.0,1.28,1,0,0,0,0,0,1,0
318,21691.0,72.0,2.0,2.0,2.06,1,0,1,0,0,0,0,0
319,21699.0,70.0,4.0,2.0,2.64,1,0,1,0,0,0,0,0
320,21702.0,62.0,4.0,1.0,4.51,0,1,0,0,1,0,0,0
321,21703.0,27.0,4.0,2.0,4.45,1,0,0,0,0,0,1,0
322,21704.0,39.0,3.0,3.0,1.24,1,0,1,0,0,0,0,0
323,21705.0,33.0,1.0,3.0,5.0,1,0,1,0,0,0,0,0
324,21712.0,53.0,3.0,5.0,2.15,0,1,0,1,0,0,0,0
325,21714.0,28.0,2.0,3.0,0.0,1,0,0,0,0,0,0,1
326,21715.0,85.0,1.0,2.0,1.45,1,0,1,0,0,0,0,0
327,21719.0,35.0,4.0,5.0,2.18,0,1,1,0,0,0,0,0
328,21723.0,33.0,2.0,6.0,0.91,1,0,1,0,0,0,0,0
329,21726.0,41.0,1.0,2.0,1.12,0,1,0,0,0,1,0,0
330,21728.0,59.0,5.0,3.0,5.0,1,0,1,0,0,0,0,0
331,21730.0,46.0,2.0,7.0,0.4,0,1,0,0,0,0,1,0
332,21733.0,28.0,2.0,6.0,1.31,1,0,1,0,0,0,0,0
333,21740.0,32.0,3.0,3.0,0.86,1,0,0,0,0,0,1,0
334,21741.0,34.0,5.0,4.0,5.0,1,0,1,0,0,0,0,0
335,21746.0,48.0,2.0,5.0,0.72,0,1,1,0,0,0,0,0
336,21747.0,21.0,2.0,4.0,3.32,0,1,0,0,0,0,1,0
337,21748.0,83.0,4.0,1.0,2.67,0,1,0,1,0,0,0,0
338,21752.0,28.0,4.0,7.0,0.91,0,1,0,0,0,0,0,1
339,21757.0,66.0,4.0,3.0,4.98,1,0,1,0,0,0,0,0
340,21758.0,21.0,1.0,7.0,1.03,0,1,1,0,0,0,0,0
341,21762.0,67.0,5.0,7.0,1.93,0,1,0,1,0,0,0,0
342,21764.0,22.0,3.0,4.0,0.0,1,0,0,0,0,0,1,0
343,21768.0,85.0,1.0,2.0,1.24,0,1,0,1,0,0,0,0
344,21769.0,24.0,4.0,3.0,4.3,1,0,0,0,0,0,0,1
345,21772.0,66.0,5.0,1.0,3.34,1,0,1,0,0,0,0,0
346,21773.0,73.0,1.0,1.0,0.67,1,0,0,0,0,0,1,0
347,21774.0,26.0,2.0,4.0,0.94,1,0,0,0,0,0,0,1
348,21777.0,45.0,4.0,2.0,3.55,0,1,1,0,0,0,0,0
349,21779.0,52.0,5.0,3.0,5.0,0,1,1,0,0,0,0,0
